0: [0, 0, 11, 2], [0, 0], 1
65: [5, 3, 20, 26], [8, 0], 1
66: [4, 4, 19, 35], [10, -8], 1
67: [4, 4, 19, 35], [0, -6], 1
68: [4, -3, 19, 28], [0, 3], 1
69: [4, -4, 19, 28], [8, 5], 1
70: [12, -1, 27, 28], [-8, 0], 1
71: [4, 0, 19, 29], [2, 0], 1
72: [4, 1, 12, 31], [1, 0], 1
73: [4, 0, 12, 31], [3, 0], 1
74: [4, 0, 12, 31], [4, 0], 1
75: [4, 0, 12, 31], [3, 0], 1
76: [4, 0, 12, 31], [4, 0], 1
77: [2, 4, 11, 30], [8, -6], 1
78: [4, 4, 13, 30], [-2, -8], 1
79: [0, 0, 17, 17], [4, -2], 1
80: [0, 0, 17, 17], [0, -5], 1
81: [0, 2, 17, 24], [0, -4], 1
82: [4, 2, 19, 28], [0, 1], 1
83: [2, -6, 17, 17], [2, 1], 1
84: [2, 0, 17, 17], [0, -9], 1
85: [2, 3, 17, 24], [-2, -4], 1
86: [4, 2, 19, 28], [0, 1], 1
87: [4, 1, 19, 33], [0, -2], 1
88: [4, 1, 19, 30], [0, 0], 1
89: [4, 1, 19, 34], [0, -3], 1
90: [4, 1, 19, 30], [0, 0], 1
91: [0, -1, 15, 14], [0, 1], 1
92: [0, -2, 15, 13], [0, 2], 1
93: [0, -6, 15, 9], [0, 6], 1
94: [0, -2, 23, 13], [0, 2], 1
95: [0, 0, 15, 7], [0, 0], 1
96: [0, 0, 15, 7], [0, 0], 1
97: [0, 0, 15, 7], [0, 0], 1
98: [0, 0, 23, 7], [0, 0], 1
99: [0, 0, 23, 7], [0, 0], 1
100: [0, 0, 23, 7], [0, 0], 1
101: [0, 0, 39, 21], [0, 16], 1
102: [0, -2, 23, 13], [0, 2], 1
103: [0, -2, 15, 13], [0, 2], 1
104: [0, 0, 23, 11], [0, 0], 1
105: [2, 2, 14, 15], [0, 0], 1
106: [2, 2, 14, 15], [0, 0], 1
107: [1, 1, 14, 14], [0, 0], 1
108: [1, 1, 14, 14], [0, 0], 1
109: [1, 0, 11, 17], [1, 0], 1
110: [0, 0, 12, 17], [1, 0], 1
111: [-1, 0, 14, 18], [0, 0], 1
112: [-1, 0, 14, 18], [0, 0], 1
113: [2, 1, 13, 14], [0, 0], 1
114: [2, 1, 13, 14], [0, 0], 1
115: [1, 1, 14, 14], [0, 0], 1
116: [1, 1, 14, 14], [0, 0], 1
117: [1, 1, 13, 15], [0, 0], 1
118: [1, 1, 13, 15], [0, 0], 1
119: [0, 0, 31, 19], [0, -3], 1
120: [4, 1, 12, 8], [0, 3], 1
121: [4, 2, 12, 9], [0, 2], 1
122: [4, 1, 12, 8], [0, 3], 1
123: [4, 2, 12, 9], [0, 2], 1
124: [4, 1, 12, 8], [0, 3], 1
125: [4, 2, 12, 9], [0, 2], 1
126: [4, 1, 12, 8], [0, 3], 1
127: [4, 2, 12, 9], [0, 2], 1
128: [4, 2, 12, 9], [0, 2], 1
129: [2, -3, 12, 12], [1, 3], 1
130: [2, -3, 12, 12], [1, 3], 1
131: [0, 0, 87, 31], [0, 0], 1
132: [1, 1, 14, 13], [0, 0], 1
133: [1, 1, 14, 13], [0, 0], 1
134: [1, 1, 14, 13], [0, 0], 1
135: [1, 1, 14, 13], [0, 0], 1
136: [1, 2, 14, 14], [0, 0], 1
137: [1, 2, 14, 14], [0, 0], 1
138: [1, 2, 14, 14], [0, 1], 1
139: [1, 2, 14, 14], [0, 1], 1
140: [1, 2, 14, 14], [0, 0], 1
141: [1, 2, 14, 14], [0, 0], 1
142: [1, 2, 14, 14], [0, 0], 1
143: [1, 2, 14, 14], [0, 0], 1
144: [0, -2, 15, 5], [0, 2], 1
145: [0, 0, 44, 33], [0, 0], 1
146: [0, 0, 44, 63], [0, 0], 1
147: [0, 0, 60, 49], [0, 0], 1
148: [0, 0, 15, 14], [0, 0], 1
149: [0, 0, 15, 14], [0, 0], 1
150: [0, 0, 15, 14], [0, 0], 1
151: [0, 0, 15, 14], [0, 0], 1
152: [0, 0, 15, 15], [0, 0], 1
153: [0, 0, 15, 14], [0, 0], 1
154: [0, 0, 15, 15], [0, 0], 1
155: [0, 0, 15, 15], [0, 0], 1
156: [0, 0, 15, 15], [0, 0], 1
157: [0, 0, 15, 15], [0, 0], 1
158: [0, 0, 15, 15], [0, 0], 1
159: [0, 0, 15, 15], [0, 0], 1
160: [0, 0, 15, 15], [0, 0], 1
161: [0, 0, 15, 15], [0, 0], 1
162: [0, 0, 15, 15], [1, 0], 1
163: [0, 0, 15, 15], [0, 0], 1
164: [0, 0, 15, 15], [0, 0], 1
165: [0, 0, 15, 15], [0, 0], 1
166: [0, 0, 15, 15], [0, 0], 1
167: [0, 0, 15, 15], [0, 0], 1
168: [0, 0, 15, 14], [0, 0], 1
169: [0, 0, 15, 15], [0, 0], 1
170: [0, 0, 15, 15], [0, 0], 1
171: [0, 0, 15, 14], [0, 0], 1
172: [0, 0, 15, 15], [0, 0], 1
173: [0, 0, 15, 15], [0, 0], 1
174: [0, 0, 7, 5], [0, 26], 1
175: [0, 0, 7, 10], [0, 21], 1
176: [0, 0, 7, 19], [0, 12], 1
177: [0, 0, 15, 30], [0, 1], 1
178: [0, 0, 15, 39], [0, -8], 1
179: [0, 0, 15, 37], [0, -6], 1
180: [0, 0, 15, 34], [0, -3], 1
181: [0, -6, 31, 25], [0, 6], 1
182: [0, -6, 31, 25], [0, 6], 1
183: [0, -6, 31, 25], [0, 6], 1
184: [0, -6, 31, 25], [0, 6], 1
185: [0, 0, 4, 5], [0, 26], 1
186: [0, 0, 5, 10], [0, 21], 1
187: [0, 0, 7, 19], [0, 12], 1
188: [0, 0, 8, 30], [0, 1], 1
189: [0, 0, 9, 39], [0, -8], 1
190: [0, 0, 10, 37], [0, -6], 1
191: [0, -2, 13, 34], [0, -3], 1
192: [0, -6, 31, 25], [0, 6], 1
193: [0, -6, 31, 25], [0, 6], 1
194: [0, -6, 31, 25], [0, 6], 1
195: [0, -6, 31, 25], [0, 6], 1
196: [2, 0, 30, 14], [0, 1], 1
197: [12, 10, 84, 38], [-8, 0], 1
198: [4, 4, 67, 22], [-4, 18], 1
199: [4, 0, 19, 30], [0, 1], 1
200: [4, 0, 19, 27], [0, 2], 1
201: [4, 2, 19, 27], [0, 3], 1
202: [4, 0, 19, 26], [0, 2], 1
203: [4, 0, 19, 26], [0, 2], 1
204: [4, 0, 19, 26], [0, 2], 1
205: [4, 0, 19, 26], [0, 2], 1
206: [4, 0, 19, 26], [0, 2], 1
207: [4, 0, 19, 19], [0, 2], 1
208: [4, 0, 19, 14], [0, 2], 1
209: [0, -4, 15, 5], [4, 7], 1
210: [0, 0, 75, 46], [0, 0], 1
211: [0, 0, 75, 46], [0, 0], 1
212: [0, 0, 75, 46], [0, 0], 1
213: [0, 0, 75, 46], [0, 0], 1
214: [0, 20, 42, 80], [1, -28], 1
215: [-6, 26, 18, 60], [-1, -32], 1
216: [-6, 26, 18, 60], [-1, -32], 1
217: [4, 1, 19, 31], [0, 0], 1
218: [4, 0, 19, 29], [0, 0], 1
219: [0, 0, 10, 5], [8, 26], 1
220: [0, 0, 17, 10], [8, 21], 1
221: [0, 0, 39, 31], [0, 0], 1
222: [0, 0, 39, 31], [0, 0], 1
223: [0, 0, 39, 31], [0, 0], 1
224: [0, 0, 39, 31], [0, 0], 1
225: [0, 0, 39, 31], [0, 0], 1
226: [0, 0, 39, 31], [0, 0], 1
227: [0, 0, 39, 31], [0, 0], 1
228: [0, 0, 39, 31], [0, 0], 1
229: [0, 0, 39, 31], [0, 0], 1
230: [0, 0, 39, 31], [0, 0], 1
231: [0, 0, 39, 31], [0, 0], 1
232: [0, 0, 39, 31], [0, 0], 1
233: [0, 0, 39, 31], [0, 0], 1
234: [0, 0, 14, 30], [0, 0], 1
235: [0, 0, 14, 30], [0, 0], 1
236: [0, 0, 14, 30], [0, 0], 1
237: [5, 0, 19, 27], [-5, 3], 1
238: [5, 0, 19, 28], [-5, 2], 1
239: [4, 0, 18, 27], [-4, 3], 1
240: [4, 0, 18, 28], [-4, 2], 1
241: [4, 0, 18, 29], [-4, 1], 1
242: [4, 0, 18, 29], [-4, 1], 1
243: [8, 0, 22, 30], [-8, 0], 1
244: [4, 0, 18, 30], [-4, 0], 1
245: [0, 0, 15, 33], [0, 0], 1
246: [0, 0, 15, 33], [0, 0], 1
247: [0, 0, 15, 33], [0, 0], 1
248: [0, 0, 15, 33], [0, 0], 1
249: [0, 0, 15, 33], [0, 0], 1
250: [0, 0, 15, 33], [0, 0], 1
251: [0, 0, 15, 33], [0, 0], 1
252: [0, 0, 15, 33], [0, 0], 1
253: [0, 0, 15, 33], [0, 0], 1
254: [0, 0, 15, 33], [0, 0], 1
255: [0, 0, 15, 33], [0, 0], 1
256: [0, 0, 15, 33], [0, 0], 1
257: [0, 0, 15, 33], [0, 0], 1
258: [0, 0, 15, 33], [0, 0], 1
259: [0, 0, 15, 33], [0, 0], 1
260: [0, 0, 15, 33], [0, 0], 1
261: [15, 6, 43, 15], [0, 0], 1
262: [0, -2, 7, 5], [0, 2], 1
263: [0, -2, 7, 5], [0, 2], 1
264: [0, -1, 7, 6], [0, 2], 1
265: [0, -1, 7, 6], [0, 2], 1
266: [0, -4, 7, 3], [0, 4], 1
267: [0, -4, 7, 3], [0, 4], 1
268: [2, 6, 13, 23], [0, 0], 1
269: [10, 6, 21, 21], [-8, 2], 1
270: [10, 7, 21, 23], [-8, 0], 1
271: [10, 6, 21, 21], [-8, 2], 1
272: [2, 8, 13, 23], [0, 0], 1
273: [2, 6, 13, 23], [0, 0], 1
274: [2, 6, 13, 21], [0, 2], 1
275: [2, 7, 13, 23], [0, 0], 1
276: [2, 1, 13, 6], [0, 2], 1
277: [2, 1, 13, 6], [0, 3], 1
278: [0, 0, 39, 109], [1, 0], 1
279: [0, 0, 47, 109], [0, 0], 1
280: [6, 5, 32, 32], [0, 0], 1
281: [6, 2, 32, 29], [0, 3], 1
282: [0, -4, 15, 11], [0, 4], 1
283: [0, 0, 15, 15], [0, 0], 1
284: [0, -1, 15, 14], [0, 1], 1
285: [0, -1, 15, 14], [0, 1], 1
286: [-6, -4, 33, 35], [6, 4], 1
287: [0, 0, 39, 39], [0, 0], 1
288: [0, 0, 39, 31], [0, 0], 1
289: [-8, 0, 31, 15], [8, 0], 1
290: [-6, -1, 25, 6], [6, 1], 1
291: [6, 4, 17, 11], [0, 0], 1
292: [6, 4, 17, 11], [0, 0], 1
293: [6, 4, 17, 11], [0, 0], 1
294: [6, 4, 17, 11], [0, 0], 1
295: [5, -1, 18, 6], [0, 1], 1
296: [5, 0, 18, 7], [0, 0], 1
297: [5, 0, 18, 7], [0, 0], 1
298: [5, -1, 18, 6], [0, 1], 1
299: [5, -1, 18, 6], [0, 1], 1
300: [5, -1, 18, 6], [0, 1], 1
301: [5, -1, 18, 6], [0, 1], 1
302: [5, -1, 18, 6], [0, 1], 1
303: [5, -1, 18, 6], [0, 1], 1
304: [0, -1, 23, 6], [0, 1], 1
305: [7, 0, 21, 23], [0, 0], 1
306: [6, 0, 21, 22], [0, 0], 1
307: [2, 0, 21, 23], [0, 0], 1
308: [7, 4, 21, 28], [0, 0], 1
309: [6, 4, 21, 28], [0, 1], 1
310: [3, 4, 21, 28], [0, 1], 1
311: [4, 2, 19, 38], [0, 2], 1
312: [4, 2, 19, 38], [0, 2], 1
313: [4, 2, 19, 38], [0, 2], 1
314: [4, 2, 19, 38], [0, 2], 1
315: [4, 2, 19, 37], [0, 3], 1
316: [4, 2, 19, 37], [0, 3], 1
317: [5, 2, 18, 37], [1, 3], 1
318: [4, 2, 19, 38], [1, 2], 1
319: [5, 2, 18, 37], [0, 3], 1
320: [4, 2, 19, 38], [0, 2], 1
321: [4, 0, 11, 9], [1, 6], 1
322: [2, 2, 21, 29], [0, 0], 1
323: [2, 2, 21, 29], [0, 0], 1
324: [2, 2, 21, 29], [0, 0], 1
325: [2, 2, 21, 29], [0, 0], 1
326: [4, 4, 19, 25], [0, -10], 1
327: [4, 6, 19, 27], [0, -12], 1
328: [4, 5, 19, 26], [0, -11], 1
329: [4, 1, 19, 22], [0, -7], 1
330: [4, 4, 19, 25], [0, -10], 1
331: [4, 6, 19, 27], [0, -12], 1
332: [4, 5, 19, 26], [0, -11], 1
333: [4, 1, 19, 22], [0, -7], 1
334: [4, 6, 24, 27], [0, -9], 1
335: [6, 2, 36, 27], [0, -9], 1
336: [6, 2, 36, 27], [0, -9], 1
337: [7, 6, 27, 27], [-7, -9], 1
338: [4, 2, 33, 27], [-15, -9], 1
339: [4, 2, 33, 27], [-15, -9], 1
340: [4, 2, 19, 26], [0, -11], 1
341: [7, 4, 21, 20], [0, -10], 1
342: [5, 4, 42, 41], [0, 0], 1
343: [5, 4, 42, 40], [0, 1], 1
344: [5, 4, 42, 41], [0, 0], 1
345: [5, 6, 42, 44], [0, -3], 1
346: [5, 6, 42, 43], [0, -2], 1
347: [5, 3, 42, 31], [0, 10], 1
348: [11, 0, 20, 10], [0, 0], 1
349: [11, 0, 20, 10], [0, 0], 1
350: [11, 0, 20, 10], [0, 0], 1
351: [11, 0, 20, 10], [0, 0], 1
352: [3, 0, 12, 10], [0, 0], 1
353: [3, 0, 12, 10], [0, 0], 1
354: [3, 0, 12, 10], [0, 0], 1
355: [3, 0, 12, 10], [0, 0], 1
356: [4, 6, 26, 38], [0, 0], 1
357: [4, 6, 26, 38], [0, 0], 1
358: [4, 6, 26, 38], [0, 0], 1
359: [4, 6, 26, 38], [0, 0], 1
360: [4, 6, 26, 38], [0, 0], 1
361: [4, 6, 26, 38], [0, 0], 1
362: [4, 6, 26, 38], [0, 0], 1
363: [4, 6, 26, 38], [0, 0], 1
364: [4, 6, 26, 38], [0, 0], 1
365: [4, 6, 26, 38], [0, 0], 1
366: [4, 6, 26, 38], [0, 0], 1
367: [4, 6, 26, 38], [0, 0], 1
368: [4, 6, 26, 38], [0, 0], 1
369: [4, 6, 26, 37], [0, 1], 1
370: [10, 7, 30, 20], [0, 0], 1
371: [12, 0, 13, 47], [0, -16], 1
372: [0, -8, 31, 7], [0, 8], 1
373: [0, -8, 31, 7], [0, 8], 1
374: [0, -7, 31, 8], [0, 7], 1
375: [0, -9, 31, 6], [0, 9], 1
376: [-1, -6, 30, 9], [1, 6], 1
377: [-3, -1, 28, 14], [3, 1], 1
378: [-7, 0, 24, 15], [7, 0], 1
379: [-12, 0, 19, 15], [12, 0], 1
380: [-15, -3, 16, 12], [15, 3], 1
381: [-14, -8, 17, 7], [14, 8], 1
382: [-11, -3, 20, 12], [11, 3], 1
383: [-11, -2, 20, 13], [11, 2], 1
384: [0, -3, 7, 4], [0, 3], 1
385: [4, 0, 11, 7], [0, 0], 1
386: [4, 0, 11, 7], [0, 0], 1
387: [4, 0, 11, 7], [0, 0], 1
388: [4, 0, 11, 7], [0, 0], 1
389: [9, 0, 22, 16], [-8, -9], 1
390: [3, 4, 18, 23], [-3, -16], 1
391: [1, 1, 31, 20], [0, -13], 1
392: [1, 0, 14, 16], [0, -9], 1
393: [4, 4, 19, 23], [-4, -16], 1
394: [8, 1, 38, 20], [-24, -13], 1
395: [-7, 0, 24, 23], [7, -16], 1
396: [5, 3, 24, 25], [0, 1], 1
397: [5, 3, 24, 25], [0, 1], 1
398: [5, 3, 24, 25], [0, 1], 1
399: [5, 3, 24, 25], [0, 1], 1
400: [5, 3, 24, 25], [0, 1], 1
401: [5, 3, 24, 25], [0, 1], 1
402: [5, 3, 24, 25], [0, 0], 1
403: [3, 2, 29, 24], [0, 2], 1
404: [3, 2, 29, 26], [0, 0], 1
405: [3, 3, 29, 30], [0, -4], 1
406: [3, 3, 29, 30], [0, -4], 1
407: [3, 3, 29, 30], [0, -4], 1
408: [3, 2, 29, 34], [0, -8], 1
409: [3, 2, 29, 45], [0, -19], 1
410: [3, 2, 29, 45], [0, -19], 1
411: [3, 2, 29, 27], [0, -1], 1
412: [2, 2, 21, 24], [4, 1], 1
413: [6, 2, 25, 23], [0, 1], 1
414: [5, 2, 26, 25], [-1, -1], 1
415: [5, 2, 26, 17], [-1, 7], 1
416: [2, 2, 21, 14], [3, 10], 1
417: [2, 6, 21, 18], [3, 6], 1
418: [2, 5, 21, 20], [3, 4], 1
419: [2, 4, 21, 19], [3, 5], 1
420: [5, 6, 26, 20], [-1, 4], 1
421: [4, 1, 10, 7], [0, 0], 1
422: [5, 1, 10, 6], [0, 1], 1
423: [4, 2, 12, 6], [0, 0], 1
424: [4, 0, 12, 4], [0, 2], 1
425: [2, 0, 19, 13], [-2, 4], 1
426: [4, 3, 20, 35], [-4, -18], 1
427: [8, 3, 24, 33], [-4, -17], 1
428: [5, 2, 30, 23], [0, -6], 1
429: [5, 3, 29, 30], [-6, -13], 1
430: [4, 1, 42, 16], [-28, 2], 1
431: [10, 3, 42, 21], [-25, -4], 1
432: [7, 3, 29, 28], [-13, -11], 1
433: [3, 3, 19, 33], [-3, -18], 1
434: [7, 3, 23, 32], [-11, -17], 1
435: [4, 2, 30, 21], [-15, -6], 1
436: [8, 3, 34, 28], [-17, -13], 1
437: [5, 1, 43, 13], [-4, 2], 1
438: [5, 3, 37, 19], [-3, -4], 1
439: [4, 3, 28, 26], [-2, -11], 1
440: [8, 1, 26, 15], [0, 0], 1
441: [8, 1, 26, 15], [0, 0], 1
442: [8, 1, 26, 15], [0, 0], 1
443: [8, 1, 26, 14], [0, 1], 1
444: [8, 2, 26, 17], [0, -2], 1
445: [8, 1, 26, 14], [0, 1], 1
446: [5, 2, 23, 15], [0, 0], 1
447: [5, 1, 23, 15], [0, 0], 1
448: [5, 1, 23, 15], [0, 0], 1
449: [5, 1, 23, 14], [0, 1], 1
450: [5, 2, 23, 14], [0, 1], 1
451: [5, 1, 23, 14], [0, 1], 1
452: [8, 3, 26, 17], [0, -2], 1
453: [5, 2, 26, 16], [0, -1], 1
454: [5, 3, 24, 17], [0, -2], 1
455: [5, 2, 26, 16], [0, -1], 1
456: [3, 4, 36, 15], [0, 0], 1
457: [4, 14, 37, 23], [0, -8], 1
458: [4, 14, 37, 23], [0, -8], 1
459: [5, 1, 34, 27], [0, -13], 1
460: [4, 1, 14, 28], [11, -14], 1
461: [10, 2, 17, 23], [5, -9], 1
462: [3, 1, 19, 20], [0, 0], 1
463: [4, 2, 18, 20], [1, 0], 1
464: [4, 2, 18, 20], [1, 0], 1
465: [3, 2, 19, 19], [0, 0], 1
466: [3, 1, 19, 20], [0, 0], 1
467: [4, 2, 18, 20], [1, 0], 1
468: [4, 2, 18, 20], [1, 0], 1
469: [3, 2, 19, 19], [0, 0], 1
470: [5, 2, 20, 21], [-1, -1], 1
471: [6, 2, 21, 21], [-2, -1], 1
472: [3, 2, 18, 21], [1, -1], 1
473: [2, 2, 17, 21], [2, -1], 1
474: [4, 2, 18, 20], [0, 0], 1
475: [4, 2, 18, 20], [0, 0], 1
476: [4, 2, 18, 20], [0, 0], 1
477: [3, 2, 19, 19], [0, 0], 1
478: [2, 4, 19, 35], [4, -8], 1
479: [4, 3, 21, 33], [2, -8], 1
480: [3, 5, 28, 30], [-1, -5], 1
481: [6, 5, 32, 30], [-5, -5], 1
482: [6, 6, 32, 31], [-5, -6], 1
483: [4, 4, 21, 35], [0, -8], 1
484: [10, 3, 27, 33], [-6, -8], 1
485: [3, 5, 28, 30], [-3, -5], 1
486: [7, 5, 33, 30], [-7, -5], 1
487: [7, 6, 33, 31], [-7, -6], 1
488: [7, 5, 32, 29], [-5, -4], 1
489: [7, 5, 32, 29], [-5, -4], 1
490: [5, 3, 28, 23], [-1, 2], 1
491: [4, 4, 26, 30], [1, -5], 1
492: [4, 6, 34, 23], [-7, 3], 1
493: [3, 3, 26, 23], [1, 2], 1
494: [5, 4, 27, 30], [0, -5], 1
495: [5, 6, 35, 22], [-8, 3], 1
496: [7, 4, 32, 29], [-5, -2], 1
497: [0, 0, 39, 28], [0, 0], 1
498: [4, 2, 19, 19], [8, 8], 1
499: [5, 3, 18, 20], [8, 7], 1
500: [2, 2, 13, 21], [12, 6], 1
501: [3, 6, 28, 27], [4, 0], 1
502: [3, 16, 44, 22], [-4, 5], 1
503: [5, 13, 50, 21], [-8, 6], 1
504: [5, 12, 50, 18], [-8, 9], 1
505: [5, 1, 50, 7], [-8, 20], 1
506: [4, 5, 28, 26], [4, 1], 1
507: [3, 3, 44, 32], [-4, -5], 1
508: [6, 3, 50, 29], [-8, -2], 1
509: [5, 2, 51, 16], [-8, 11], 1
510: [5, 2, 51, 10], [-8, 17], 1
511: [4, 1, 35, 10], [1, 17], 1
512: [0, 0, 5, 5], [0, 0], 1
513: [0, 0, 7, 7], [0, 0], 1
514: [6, 4, 24, 27], [-4, -3], 1
515: [6, 4, 24, 27], [-4, -2], 1
516: [6, 4, 24, 27], [-4, -3], 1
517: [7, 4, 25, 27], [-3, -3], 1
518: [7, 4, 25, 27], [-3, -2], 1
519: [7, 4, 25, 27], [-3, -3], 1
520: [6, 3, 25, 26], [-6, -1], 1
521: [4, 3, 27, 26], [-1, -1], 1
522: [6, 7, 25, 30], [-5, -5], 1
523: [6, 7, 25, 30], [-2, -5], 1
524: [8, 4, 31, 22], [-7, 0], 1
525: [8, 4, 31, 22], [-8, 0], 1
526: [8, 4, 31, 22], [-7, 0], 1
527: [1, 4, 24, 22], [0, 0], 1
528: [1, 4, 24, 22], [-1, 0], 1
529: [1, 4, 24, 22], [0, 0], 1
530: [3, 4, 26, 25], [0, 0], 1
531: [6, 4, 33, 23], [-7, 2], 1
532: [3, 4, 26, 31], [0, -6], 1
533: [3, 4, 27, 33], [-1, -8], 1
534: [3, 3, 34, 22], [-1, 3], 1
535: [5, 4, 28, 25], [-3, 0], 1
536: [6, 4, 34, 23], [-8, 2], 1
537: [5, 4, 28, 31], [-3, -6], 1
538: [5, 4, 28, 33], [-2, -8], 1
539: [6, 3, 35, 22], [-11, 3], 1
540: [6, 3, 40, 25], [-16, 0], 1
541: [6, 3, 42, 29], [-17, -4], 1
542: [6, 4, 48, 31], [-19, -6], 1
543: [6, 3, 42, 24], [-16, 0], 1
544: [5, 3, 43, 28], [-17, -4], 1
545: [6, 4, 50, 31], [-19, -6], 1
546: [7, 6, 57, 42], [-13, -18], 1
547: [10, 8, 70, 49], [-24, -23], 1
548: [16, 8, 67, 53], [-25, -27], 1
549: [18, 9, 75, 58], [-32, -33], 1
550: [16, 46, 63, 60], [-21, -36], 1
551: [7, 64, 27, 66], [0, -42], 1
552: [8, 5, 38, 26], [-23, -1], 1
553: [4, 3, 43, 20], [-29, 5], 1
554: [7, 4, 48, 35], [-32, -10], 1
555: [7, 4, 40, 35], [-24, -10], 1
556: [0, 0, 215, 74], [-8, 5], 1
557: [0, 0, 63, 14], [48, 24], 1
558: [4, 4, 32, 24], [-8, -2], 1
559: [4, 0, 19, 24], [0, 0], 1
560: [3, 1, 13, 9], [0, 2], 1
561: [2, 1, 12, 9], [1, 2], 1
562: [2, 1, 12, 9], [1, 2], 1
563: [5, 1, 11, 12], [0, -1], 1
564: [5, 1, 11, 11], [0, 0], 1
565: [6, 1, 12, 12], [-1, -1], 1
566: [5, 1, 11, 12], [0, -1], 1
567: [4, 1, 10, 12], [1, -1], 1
568: [4, 1, 10, 11], [1, 0], 1
569: [3, 1, 9, 12], [2, -1], 1
570: [4, 1, 10, 12], [1, -1], 1
571: [1, 1, 14, 4], [0, 7], 1
572: [1, 0, 54, 6], [0, 0], 1
573: [2, 0, 46, 61], [-15, -4], 1
574: [2, 0, 46, 31], [-15, -4], 1
575: [1, 2, 14, 21], [3, 35], 1
576: [1, 2, 14, 21], [2, 38], 1
577: [1, 2, 14, 21], [2, 38], 1
578: [7, 2, 26, 19], [0, 0], 1
579: [7, 2, 26, 19], [0, 0], 1
580: [7, 2, 26, 19], [0, 0], 1
581: [7, 2, 26, 20], [0, -1], 1
582: [5, 2, 24, 19], [2, 0], 1
583: [5, 2, 24, 19], [2, 0], 1
584: [5, 2, 24, 19], [2, 0], 1
585: [5, 2, 24, 20], [2, -1], 1
586: [0, 0, 23, 16], [4, 9], 1
587: [1, 0, 30, 20], [0, 7], 1
588: [0, 0, 17, 22], [7, 5], 1
589: [0, 0, 19, 27], [6, 2], 1
590: [0, 0, 23, 31], [4, 0], 1
591: [0, 0, 31, 19], [0, 4], 1
592: [3, 5, 20, 35], [0, 1], 1
593: [3, 4, 20, 30], [0, 6], 1
594: [1, 7, 22, 28], [0, 8], 1
595: [6, 2, 29, 14], [-5, 22], 1
596: [3, 3, 29, 10], [-4, 26], 1
597: [15, 13, 50, 23], [0, 0], 1
598: [5, 3, 17, 18], [0, -4], 1
599: [26, 3, 27, 39], [0, 0], 1
600: [26, 3, 27, 39], [0, 0], 1
601: [26, 3, 27, 39], [0, 0], 1
